ride_id,ride_name,ride_type,min_height_cm,thrill_level,capacity_per_hour,zone,is_haunted,opened_date,status,avg_wait_minutes
R001,Thunder Dragon,roller_coaster,100,low,370,Adventure Zone,false,2010-06-25,active,28
R002,Shadow Falls,dark_ride,0,medium,591,Horror Quarter,false,2008-07-16,active,33
R003,Blazing Manor,drop_tower,120,high,1020,Splash Valley,false,2011-10-15,active,44
R004,Haunted Drop,water_ride,130,extreme,841,Family Land,false,2005-03-06,maintenance,0
R005,Steel Carousel,carousel,0,low,983,Kids Corner,false,2023-04-30,closed,0
R006,Wild Rockets,kiddie_ride,0,medium,867,Main Street,false,2011-09-19,active,47
R007,Sky Crypt,roller_coaster,80,high,437,Adventure Zone,false,2010-12-07,active,12
R008,Dark Train,dark_ride,0,extreme,409,Horror Quarter,false,2021-08-26,active,40
R009,Rapid River,drop_tower,90,low,578,Splash Valley,false,2011-04-28,maintenance,0
R010,Twisted Comet,water_ride,120,medium,515,Family Land,false,2021-02-04,closed,0
R011,Phantom Tower,carousel,0,high,651,Kids Corner,false,2009-07-26,active,48
R012,Crimson Express,kiddie_ride,0,extreme,949,Main Street,false,2010-12-03,active,37
R013,Electric Quest,roller_coaster,110,low,557,Adventure Zone,false,2006-02-21,active,10
R014,Solar Run,dark_ride,0,medium,949,Horror Quarter,false,2014-07-02,maintenance,0
R015,Frozen Loop,drop_tower,100,high,345,Splash Valley,false,2005-01-30,closed,0
R016,Ancient Spin,water_ride,100,extreme,1089,Family Land,false,2007-12-08,active,45
R017,Mystic Swing,carousel,0,low,568,Kids Corner,false,2008-08-16,active,52
R018,Cosmic Flight,kiddie_ride,0,medium,752,Main Street,false,2017-05-17,active,50
R019,Neon Chase,roller_coaster,110,high,874,Adventure Zone,false,2005-03-21,maintenance,0
R020,Raging Rush,dark_ride,0,extreme,414,Horror Quarter,false,2006-09-09,closed,0
R021,Golden Slide,drop_tower,130,low,452,Splash Valley,false,2017-03-28,active,7
R022,Silver Plunge,water_ride,100,medium,896,Family Land,false,2017-05-24,active,14
R023,Iron Dip,carousel,0,high,740,Kids Corner,false,2007-11-11,active,7
R024,Crystal Jump,kiddie_ride,0,extreme,615,Main Street,false,2013-03-07,maintenance,0
R025,Marble Leap,roller_coaster,80,low,666,Adventure Zone,false,2009-09-17,closed,0
R026,Fire Dash,dark_ride,0,medium,998,Horror Quarter,false,2010-08-07,active,47
R027,Storm Race,drop_tower,80,high,662,Splash Valley,false,2022-07-01,active,40
R028,Venom Ride,water_ride,110,extreme,935,Family Land,false,2021-10-23,active,14
R029,Ghost Trip,carousel,0,low,542,Kids Corner,false,2008-08-24,maintenance,0
R030,Doom Tour,kiddie_ride,0,medium,481,Main Street,false,2014-04-01,closed,0
R031,Epic Escape,roller_coaster,80,high,483,Adventure Zone,false,2021-07-09,active,26
R032,Titan Attack,dark_ride,0,extreme,721,Horror Quarter,false,2022-12-29,active,47
R033,Comet Defense,drop_tower,130,low,554,Splash Valley,false,2010-12-26,active,15
R034,Blaze Strike,water_ride,130,medium,410,Family Land,false,2013-07-31,maintenance,0
R035,Wave Force,carousel,0,high,339,Kids Corner,false,2015-07-23,closed,0
R036,Rush Power,kiddie_ride,0,extreme,527,Main Street,false,2009-06-23,active,57
R037,Fury Wave,roller_coaster,110,low,658,Adventure Zone,false,2011-11-06,active,57
R038,Surge Pulse,dark_ride,0,medium,533,Horror Quarter,false,2010-01-01,active,6
R039,Flash Blast,drop_tower,130,high,497,Splash Valley,false,2013-12-09,maintenance,0
R040,Pulse Surge,water_ride,100,extreme,585,Family Land,false,2006-07-23,closed,0
R041,Echo Venture,carousel,0,low,1091,Kids Corner,false,2011-04-06,active,27
R042,Nova Safari,kiddie_ride,0,medium,956,Main Street,false,2016-06-05,active,30
R043,Orbit Journey,roller_coaster,130,high,849,Adventure Zone,false,2012-06-05,active,6
R044,Apex Voyage,dark_ride,0,extreme,418,Horror Quarter,false,2010-11-10,maintenance,0
R045,Zenith Mission,drop_tower,90,low,894,Splash Valley,false,2010-12-15,closed,0
R046,Helix Challenge,water_ride,80,medium,411,Family Land,false,2018-05-20,active,32
R047,Vortex Trial,carousel,0,high,653,Kids Corner,false,2021-05-05,active,55
R048,Spiral Test,kiddie_ride,0,extreme,621,Main Street,false,2014-10-15,active,43
R049,Surge Quest,roller_coaster,120,low,418,Adventure Zone,false,2013-08-22,maintenance,0
R050,Drift Hunt,dark_ride,0,medium,890,Horror Quarter,false,2009-04-07,closed,0
R051,Claw Castle,drop_tower,100,high,345,Splash Valley,false,2020-11-24,active,32
R052,Fang Dungeon,water_ride,80,extreme,832,Family Land,false,2023-02-02,active,39
R053,Roar Palace,carousel,0,low,1003,Kids Corner,false,2021-02-19,active,52
R054,Howl Temple,kiddie_ride,0,medium,1054,Main Street,false,2020-01-16,maintenance,0
R055,Slash Fortress,roller_coaster,90,high,672,Adventure Zone,false,2014-09-04,closed,0
R056,Strike Citadel,dark_ride,0,extreme,371,Horror Quarter,false,2019-11-25,active,26
R057,Crash Keep,drop_tower,120,low,621,Splash Valley,false,2019-11-18,active,59
R058,Smash Tower,water_ride,80,medium,1037,Family Land,false,2011-09-27,active,37
R059,Blast Spire,carousel,0,high,616,Kids Corner,false,2019-12-17,maintenance,0
R060,Boom Vault,kiddie_ride,0,extreme,718,Main Street,false,2012-04-26,closed,0
R061,Haze Cavern,roller_coaster,110,low,1013,Adventure Zone,false,2011-08-20,active,40
R062,Mist Canyon,dark_ride,0,medium,430,Horror Quarter,false,2009-04-21,active,31
R063,Fog Gorge,drop_tower,130,high,688,Splash Valley,false,2020-03-11,active,52
R064,Dusk Ravine,water_ride,90,extreme,930,Family Land,false,2017-10-07,maintenance,0
R065,Dawn Valley,carousel,0,low,608,Kids Corner,false,2014-02-09,closed,0
R066,Glow Peak,kiddie_ride,0,medium,861,Main Street,false,2005-01-04,active,24
R067,Gleam Summit,roller_coaster,100,high,515,Adventure Zone,false,2014-08-23,active,55
R068,Spark Ridge,dark_ride,0,extreme,893,Horror Quarter,false,2018-08-10,active,46
R069,Flare Cliff,drop_tower,100,low,776,Splash Valley,false,2014-11-29,maintenance,0
R070,Beam Crest,water_ride,110,medium,991,Family Land,false,2009-10-17,closed,0
R071,Serpent Lagoon,carousel,0,high,823,Kids Corner,false,2015-08-13,active,55
R072,Dragon Bay,kiddie_ride,0,extreme,1053,Main Street,false,2008-10-22,active,47
R073,Phoenix Cove,roller_coaster,80,low,590,Adventure Zone,false,2016-07-24,active,47
R074,Hydra Reef,dark_ride,0,medium,948,Horror Quarter,false,2018-11-21,maintenance,0
R075,Kraken Shore,drop_tower,100,high,395,Splash Valley,false,2023-05-11,closed,0
R076,Cyclops Beach,water_ride,90,extreme,988,Family Land,false,2011-12-18,active,19
R077,Griffin Island,carousel,0,low,503,Kids Corner,false,2008-04-22,active,6
R078,Minotaur Haven,kiddie_ride,0,medium,347,Main Street,false,2010-06-29,active,35
R079,Chimera Harbor,roller_coaster,120,high,1086,Adventure Zone,false,2006-08-20,maintenance,0
R080,Sphinx Port,dark_ride,0,extreme,766,Horror Quarter,false,2014-04-19,closed,0
R081,Alpha Storm,drop_tower,130,low,889,Splash Valley,false,2009-05-12,active,50
R082,Beta Thunder,water_ride,130,medium,693,Family Land,false,2016-02-02,active,30
R083,Gamma Lightning,carousel,0,high,549,Kids Corner,false,2008-04-23,active,46
R084,Delta Bolt,kiddie_ride,0,extreme,1004,Main Street,false,2005-02-15,maintenance,0
R085,Omega Shock,roller_coaster,80,low,1097,Adventure Zone,false,2014-07-15,closed,0
R086,Sigma Spark,dark_ride,0,medium,524,Horror Quarter,false,2008-12-11,active,56
R087,Lambda Flash,drop_tower,130,high,830,Splash Valley,false,2015-06-03,active,8
R088,Zeta Flare,water_ride,120,extreme,555,Family Land,false,2007-09-22,active,34
R089,Theta Blaze,carousel,0,low,436,Kids Corner,false,2022-12-23,maintenance,0
R090,Kappa Flame,kiddie_ride,0,medium,775,Main Street,false,2019-12-22,closed,0
R091,Inferno Echo,roller_coaster,120,high,872,Adventure Zone,false,2018-05-10,active,25
R092,Glacier Vortex,dark_ride,0,extreme,1073,Horror Quarter,false,2014-12-05,active,44
R093,Avalanche Spiral,drop_tower,130,low,816,Splash Valley,false,2014-07-28,active,58
R094,Tsunami Helix,water_ride,120,medium,756,Family Land,false,2008-07-27,maintenance,0
R095,Tornado Orbit,carousel,0,high,1061,Kids Corner,false,2015-08-25,closed,0
R096,Cyclone Nova,kiddie_ride,0,extreme,760,Main Street,false,2010-10-25,active,53
R097,Hurricane Comet,roller_coaster,90,low,952,Adventure Zone,false,2011-03-22,active,54
R098,Blizzard Meteor,dark_ride,0,medium,1096,Horror Quarter,false,2016-09-10,active,36
R099,Tempest Asteroid,drop_tower,130,high,544,Splash Valley,false,2011-02-28,maintenance,0
R100,Volcano Galaxy,water_ride,110,extreme,379,Family Land,false,2021-01-02,closed,0
